27,Who established Manila as a Spanish conquistador?,Miguel Lopez De Legazpi,Santiago De Vera;Francisco Dela Torre;Maria Dela Terresa;Marco Polo Vicente;Vicente De Lopez
28,He arrived to establish a permanent settlement in the Philippines?,Miguel Lopez De Legazpi,Ferdinand Magellan and Francisco Pizarro;Christopher Columbus and Hernán Cortés;Vasco da Gama and Atahualpa
29,Which of the following did Magellan's visit to Cebu not occur?,Magellan fought with Lapu-lapu.,Magellan offered a statue of the Sto. Ñino as a gift.;The Cebuanos were baptized as Catholics.;Rajah Humabon welcomed Magellan.
30,How come Magellan traveled to Mactan?,He wanted to baptize the people to the Catholic faith.,He wanted to buy spices.;He wanted to visit the place.;He wanted to build a church.;He wanted to challenge Lapu-Lapu;He saw a coast
31,What was the term used to describe small bead-like pieces of gold used as currency in Precolonial Philippines?,Piloncitos,Bulawans;Granitas de Oro;Oro Pulido
32,What is the traditional practice of using gold to decorate teeth called during precolonial times?,Pusad,Tunga;Bansil;Kamagi
33,"What type of gold artifacts, meant to cover either part or all of the deceased's face in the grave, were often found in burials of Datus?",Death Masks,Pusad;Piloncitos;Agosan
,,,
,,,
,,,
,,,
